,pairing,moment
70,"[(4, 6), (3, 8), (2, 9), (1, 7), (0, 5)]",0.07860526044399127
71,"[(6, 9), (4, 8), (2, 5), (1, 7), (0, 3)]",0.07862240394368035
72,"[(5, 8), (3, 7), (2, 9), (1, 4), (0, 6)]",0.07897750487929003
73,"[(4, 8), (3, 7), (2, 5), (1, 9), (0, 6)]",0.07972099589568904
74,"[(7, 9), (3, 8), (2, 6), (1, 4), (0, 5)]",0.08001093395705886
75,"[(4, 7), (3, 8), (2, 6), (1, 9), (0, 5)]",0.08003101746238869
76,"[(4, 6), (3, 9), (2, 8), (1, 5), (0, 7)]",0.08055284171058405
77,"[(6, 8), (3, 9), (2, 7), (1, 4), (0, 5)]",0.08123977778418388
78,"[(7, 9), (4, 8), (2, 6), (1, 5), (0, 3)]",0.08278100707188528
79,"[(5, 8), (3, 9), (2, 6), (1, 4), (0, 7)]",0.08438807577511169
80,"[(4, 7), (3, 9), (2, 6), (1, 5), (0, 8)]",0.08447477965636896
81,"[(5, 9), (3, 6), (2, 8), (1, 4), (0, 7)]",0.08615909554511136
82,"[(6, 9), (3, 7), (2, 5), (1, 8), (0, 4)]",0.090391300261763
83,"[(4, 9), (3, 7), (2, 5), (1, 6), (0, 8)]",0.09059609285150719
84,"[(5, 7), (3, 6), (2, 9), (1, 8), (0, 4)]",0.0906865763556825
85,"[(5, 8), (4, 7), (2, 9), (1, 3), (0, 6)]",0.09234254207446277
86,"[(5, 9), (4, 6), (3, 8), (1, 7), (0, 2)]",0.09290021093864843
87,"[(6, 7), (3, 9), (2, 5), (1, 8), (0, 4)]",0.09330826498725717
88,"[(7, 9), (3, 8), (2, 5), (1, 4), (0, 6)]",0.0941970457505844
89,"[(5, 9), (4, 7), (2, 6), (1, 8), (0, 3)]",0.09436374942895381
90,"[(6, 9), (3, 8), (2, 4), (1, 5), (0, 7)]",0.09570287562748228
91,"[(5, 8), (4, 7), (3, 9), (1, 6), (0, 2)]",0.09674993901170201
92,"[(5, 8), (4, 7), (2, 6), (1, 9), (0, 3)]",0.09703978505953081
93,"[(5, 6), (3, 9), (2, 7), (1, 8), (0, 4)]",0.09732096203247376
94,"[(7, 9), (3, 6), (2, 5), (1, 8), (0, 4)]",0.09759788058169964
95,"[(4, 9), (3, 5), (2, 7), (1, 6), (0, 8)]",0.09799301296958834
96,"[(6, 9), (5, 8), (2, 4), (1, 7), (0, 3)]",0.0982650564988069
97,"[(5, 7), (3, 9), (2, 4), (1, 8), (0, 6)]",0.09845541757360282
98,"[(5, 9), (4, 7), (3, 8), (1, 2), (0, 6)]",0.09892231710277902
99,"[(5, 6), (3, 9), (2, 8), (1, 4), (0, 7)]",0.09917480653570732
100,"[(6, 8), (4, 7), (2, 9), (1, 5), (0, 3)]",0.10059713380725764
101,"[(4, 7), (3, 6), (2, 9), (1, 5), (0, 8)]",0.10096793068267168
102,"[(4, 7), (3, 6), (2, 8), (1, 9), (0, 5)]",0.10106078374524474
103,"[(7, 8), (3, 6), (2, 9), (1, 5), (0, 4)]",0.10141724662236418
104,"[(5, 7), (3, 9), (2, 6), (1, 4), (0, 8)]",0.10148230589963228
105,"[(5, 7), (3, 8), (2, 6), (1, 9), (0, 4)]",0.10166808265219243
106,"[(6, 8), (3, 9), (2, 5), (1, 4), (0, 7)]",0.10179276446835811
107,"[(5, 9), (4, 7), (2, 3), (1, 8), (0, 6)]",0.10198662081623275
108,"[(6, 9), (5, 8), (2, 7), (1, 3), (0, 4)]",0.10219898853062637
109,"[(7, 9), (4, 8), (3, 6), (1, 5), (0, 2)]",0.10235403723729715
110,"[(6, 9), (4, 5), (2, 8), (1, 7), (0, 3)]",0.10262123416799811
111,"[(5, 9), (4, 8), (3, 6), (2, 7), (0, 1)]",0.10300609983458911
112,"[(8, 9), (3, 7), (2, 6), (1, 4), (0, 5)]",0.10354852331269154
113,"[(5, 8), (4, 6), (2, 9), (1, 7), (0, 3)]",0.10389621464549942
114,"[(6, 9), (5, 8), (3, 7), (1, 4), (0, 2)]",0.10411647825681512
115,"[(6, 9), (3, 7), (2, 5), (1, 4), (0, 8)]",0.1042827566472983
116,"[(6, 8), (4, 9), (2, 7), (1, 3), (0, 5)]",0.10437561531026004
117,"[(4, 5), (3, 9), (2, 7), (1, 8), (0, 6)]",0.10471900153326837
118,"[(6, 9), (4, 8), (3, 5), (1, 7), (0, 2)]",0.10486217149260804
119,"[(7, 8), (3, 9), (2, 6), (1, 4), (0, 5)]",0.1050118839956231
120,"[(6, 8), (3, 5), (2, 9), (1, 7), (0, 4)]",0.10636554170078524
121,"[(7, 9), (3, 5), (2, 8), (1, 6), (0, 4)]",0.1064661416839078
122,"[(5, 9), (3, 6), (2, 4), (1, 8), (0, 7)]",0.10647469186470117
123,"[(6, 8), (4, 9), (3, 7), (1, 5), (0, 2)]",0.10699763414969475
124,"[(5, 6), (4, 9), (2, 8), (1, 7), (0, 3)]",0.10701942488225841
125,"[(4, 8), (3, 7), (2, 5), (1, 6), (0, 9)]",0.10712641297273742
126,"[(7, 9), (4, 6), (2, 8), (1, 5), (0, 3)]",0.10718960355656407
127,"[(5, 7), (4, 9), (3, 8), (1, 6), (0, 2)]",0.1072571237045126
128,"[(4, 8), (3, 6), (2, 5), (1, 9), (0, 7)]",0.10766927161695675
129,"[(4, 5), (3, 9), (2, 8), (1, 6), (0, 7)]",0.10852584850217517
130,"[(5, 9), (4, 6), (2, 8), (1, 3), (0, 7)]",0.1085600109677684
131,"[(5, 7), (4, 8), (2, 9), (1, 6), (0, 3)]",0.10882770627742969
132,"[(4, 6), (3, 9), (2, 5), (1, 8), (0, 7)]",0.10920229060621633
133,"[(4, 8), (3, 5), (2, 7), (1, 9), (0, 6)]",0.10922254684174107
134,"[(5, 8), (3, 7), (2, 4), (1, 9), (0, 6)]",0.10933027955666504
135,"[(4, 6), (3, 9), (2, 7), (1, 5), (0, 8)]",0.10933633295788327
